MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandWidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError
flash;71303168;double;8;2;Clock;2,97106592;4,26983079;16,6992959456363;1,29876487;0,304172444735216;0,224743292;0,232579516;306,575442353229;0,007836224;0,033692666210553
;;;;;;;;;;;;;;;
SSD;75497472;double;8;1;Clock;0,323487458;0,372817433;202,505208494368;0,049329975;0,132316706874595;0,267526204;0,262418136;287,699139818598;0,005108068;0,019465377194814
SSD;75497472;double;8;2;Clock;0,422147408;0,372817433;202,505208494368;0,049329975;0,132316706874595;0,257310068;0,262418136;287,699139818598;0,005108068;0,019465377194814
;;;;;;;;;;;;;;;
flash;75497472;double;8;1;Clock;3,223950574;3,594127632;21,0057849164328;0,370177058;0,102994967319513;0,245429782;0,266626108;283,158587005291;0,021196326;0,079498313796037
flash;75497472;double;8;2;Clock;3,96430469;3,594127632;21,0057849164328;0,370177058;0,102994967319513;0,287822433;0,266626108;283,158587005291;0,021196325;0,079498310045466
;;;;;;;;;;;;;;;
SSD;79691776;double;8;1;Clock;0,456647983;0,446184481;178,60723398849;0,010463502;0,023451066645234;0,266589519;0,281583008;283,013440924674;0,014993489;0,053247136986334
SSD;79691776;double;8;2;Clock;0,435720979;0,446184481;178,60723398849;0,010463502;0,023451066645234;0,296576497;0,281583008;283,013440924674;0,014993489;0,053247136986334
;;;;;;;;;;;;;;;
flash;79691776;double;8;1;Clock;3,365430996;3,774587918;21,1127089184945;0,409156922;0,108397772389627;0,261088455;0,254499584;313,131262328507;0,006588871;0,025889515795829
flash;79691776;double;8;2;Clock;4,18374484;3,774587918;21,1127089184945;0,409156922;0,108397772389627;0,247910714;0,254499584;313,131262328507;0,00658887;0,02588951186655
;;;;;;;;;;;;;;;
SSD;83886080;double;8;1;Clock;0,368518445;0,394000501;212,908561758402;0,025482056;0,064675186796273;0,263568162;0,267221906;313,919173976702;0,003653744;0,013673070650129
SSD;83886080;double;8;2;Clock;0,419482557;0,394000501;212,908561758402;0,025482056;0,064675186796273;0,270875651;0,267221906;313,919173976702;0,003653745;0,013673074392337
;;;;;;;;;;;;;;;
flash;83886080;double;8;1;Clock;4,4453331;3,955048708;21,2098727963378;0,490284392;0,12396418557584;0,258009422;0,260201347;322,389107386135;0,002191925;0,008423957159607
flash;83886080;double;8;2;Clock;3,464764315;3,955048708;21,2098727963378;0,490284393;0,123964185828682;0,262393271;0,260201347;322,389107386135;0,002191924;0,008423953316429
